X,Y,Test or train,Raw prediction,Cumulative prediction,Logistic prediction
64.0,64.0,train,2.882507641226105E-4,65.07029354862242,0.5993101100150755
65.0,65.0,train,1.4038137973173325E-4,30.317692400985077,0.42143714222543627
66.0,66.0,train,1.41962237371379E-5,2.101001500524071,0.06860849018950918
67.0,67.0,train,2.0252852329092459E-4,49.6208528971064,0.5124077803362441
68.0,68.0,train,1.3812249674006105E-4,29.676056142664947,0.4174869090961585
69.0,69.0,train,1.454463046198653E-4,32.17409215602916,0.4301026290155674
70.0,70.0,train,1.4021347048986092E-4,30.259147516612966,0.42114535422644295
71.0,71.0,train,8.334889348681858E-6,1.0737772830352061,0.04145574821757106
72.0,72.0,train,2.4247421477671444E-4,57.92385604980809,0.5571629690854047
73.0,73.0,train,6.666436491871622E-4,92.16474677009359,0.7757408533330339
74.0,74.0,train,1.2925214105503E-4,26.942211312195035,0.4014386416634158
75.0,75.0,train,9.360547383669343E-6,1.248800887617477,0.046320826185365774
76.0,76.0,train,4.747356537328937E-5,7.999288359212369,0.19764694728440724
77.0,77.0,train,2.390685757460678E-5,4.040204428633737,0.11035951531189045
78.0,78.0,train,6.480285185033126E-5,10.80863381172704,0.2516390290148365
79.0,79.0,train,8.778485784112592E-6,1.1460298976081347,0.04356596944373395
80.0,80.0,train,1.1105035764855857E-4,21.40941701362201,0.36557313803242864
81.0,81.0,train,1.9370151510196982E-4,47.25915675128834,0.5012697404760263
82.0,82.0,train,2.1754512140790603E-4,53.29737625316425,0.5302547099819674
83.0,83.0,train,1.390662029276195E-4,29.91872289411756,0.4191437618059262
84.0,84.0,train,8.445399537028419E-5,14.806107371030258,0.30469645229646874
85.0,85.0,train,2.254710748070206E-4,54.96822106130855,0.5391577633508865
86.0,86.0,train,4.236481097599492E-5,7.272726281669273,0.18021059695877406
87.0,87.0,train,4.6216657297905E-5,7.7668452126501135,0.19342623381367866
88.0,88.0,train,1.91040802589875E-5,3.0822370588542958,0.09018833832117946
89.0,89.0,train,6.694458679263213E-5,11.167338242846288,0.2578115672053241
90.0,90.0,train,8.233361885086148E-5,14.306997287187734,0.29933639113305277
91.0,91.0,train,0.0014883808202496975,100.0,0.8853607239138865
92.0,92.0,train,3.4733565510865384E-4,73.93951881536933,0.6431476465356135
93.0,93.0,train,5.135627460948209E-4,84.89619248855853,0.7271345650610115
94.0,94.0,train,3.259363697023788E-4,71.77187392162584,0.6284242520209541
95.0,95.0,train,7.523313125529807E-5,12.715638357580382,0.28076952668519817
96.0,96.0,train,1.895048186419855E-4,45.971939718256614,0.49579385745456517
97.0,97.0,train,1.2264795373643808E-4,24.82756937422272,0.38890404922338834
98.0,98.0,train,2.464418153588779E-4,58.51615665803491,0.5611637714822117
99.0,99.0,train,6.501582210513996E-4,91.55974185039013,0.7713546833539853
100.0,100.0,train,1.4719522477484623E-4,32.607219185187624,0.4330348436564129
101.0,101.0,train,2.1454358207933076E-4,52.62605343712981,0.5267926811720277
102.0,102.0,train,1.5168373182753328E-4,34.322079627332386,0.44042392036085193
103.0,103.0,train,1.8030373687737713E-4,42.86412744910111,0.48335700976436363
104.0,104.0,train,5.685582659735161E-5,9.44185101130032,0.22780964320209804
105.0,105.0,train,3.275449024132934E-4,72.02320047248267,0.6295730735299468
106.0,106.0,train,2.8427657567296587E-4,64.59485523365055,0.5959716867828024
107.0,107.0,train,1.6942981059322795E-4,39.78134379907374,0.4678442731722855
108.0,108.0,train,4.6814222205334626E-4,82.35555481294188,0.708380751030053
109.0,109.0,train,3.4630195681879003E-4,73.81269831789432,0.6424633005217063
110.0,110.0,train,0.0010317668702052383,98.18796302008529,0.8426114832195489
111.0,111.0,train,4.381141518093937E-4,80.56686309157786,0.6944995107252111
112.0,112.0,train,1.3968340113115044E-4,30.093393910438547,0.420222280271562
113.0,113.0,train,1.600016067521817E-4,36.88300141882497,0.45361982629211944
114.0,114.0,train,5.521694202642505E-4,87.50098908373089,0.7412768306913652
115.0,115.0,train,6.40920945545194E-4,91.25474363792743,0.7688211474519555
116.0,116.0,train,3.7617042839200985E-4,76.31884097692722,0.661235054049019
117.0,117.0,train,1.2679972848364795E-4,26.244281359735268,0.39684450136614147
118.0,118.0,train,3.2274989381895174E-4,71.43038313445759,0.62612728627328
119.0,119.0,train,3.8126763110330316E-4,76.63056773704709,0.6642433993376623
120.0,120.0,train,2.0215569394236338E-4,49.531863921348844,0.5119474111662459
121.0,121.0,train,2.782657592425985E-4,63.76747948354326,0.590815397189599
122.0,122.0,train,9.360798160739118E-6,1.2488519662348982,0.046322009675478934
123.0,123.0,train,9.509839214070907E-5,17.342809604633203,0.3304108672921621
124.0,124.0,train,2.0730042872249175E-4,51.03139678159215,0.5182243402037368
125.0,125.0,train,2.508888638072893E-4,59.40122677197822,0.565562973636845
126.0,126.0,train,4.8048866651213194E-5,8.09411212759434,0.19956411519287495
127.0,127.0,train,7.708714545192754E-5,13.045612778615446,0.2857118068283605
128.0,128.0,train,2.1744331905749608E-4,53.25968481626944,0.5301381194714256
129.0,129.0,train,1.962457019293544E-4,47.83011359067553,0.504531884884334
130.0,130.0,train,1.2569580207069263E-4,25.8500670215514,0.3947534027017856
131.0,131.0,train,2.848826637894903E-4,64.7038292919782,0.5964844072366274
132.0,132.0,train,9.550890457368394E-5,17.453843773005225,0.33136453454957243
133.0,133.0,train,3.6082061898423705E-4,75.14796432209685,0.6518410272063397
