Raw value,Corresponding cumulative value,Corresponding logistic value,Fractional area,Training omission,Test omission
1.60459E-4,37.011998418,0.454327418,0.200303778,0.331920904,0
1.6131E-4,37.253198805,0.455639499,0.198879818,0.334745763,0
1.6214E-4,37.511936579,0.456912361,0.197360927,0.334745763,0
1.62978E-4,37.755729569,0.458191978,0.195936966,0.337570621,0
1.63668E-4,38.000703197,0.45924053,0.194513006,0.337570621,0
1.64386E-4,38.263264399,0.460327876,0.192994114,0.338983051,0
1.65092E-4,38.510373096,0.461393296,0.191570154,0.343220339,0
1.66271E-4,38.758896762,0.463161413,0.190146193,0.344632768,0
1.67251E-4,39.009098917,0.464622668,0.188722233,0.346045198,0
1.67959E-4,39.260570486,0.465673684,0.187298272,0.346045198,0
1.68895E-4,39.513196533,0.46705746,0.185874312,0.348870056,0
1.69369E-4,39.766901808,0.467754825,0.184450351,0.351694915,0
1.7037E-4,40.004630669,0.469221786,0.183121321,0.357344633,0
1.71699E-4,40.261141504,0.471158599,0.181697361,0.357344633,0
1.73139E-4,40.50272108,0.473239356,0.180368331,0.360169492,0
1.73893E-4,40.763004352,0.474322481,0.178944371,0.361581921,0
1.74382E-4,41.006757533,0.475023581,0.177615341,0.36299435,0
1.75098E-4,41.251553897,0.476044278,0.176286311,0.368644068,0
1.76057E-4,41.51497425,0.477407128,0.17486235,0.368644068,0
1.76994E-4,41.76213475,0.478731655,0.173533321,0.370056497,0
1.77467E-4,42.010330601,0.479397823,0.172204291,0.371468927,0
1.78371E-4,42.259526108,0.480665982,0.170875261,0.372881356,0
1.79301E-4,42.509925262,0.481965081,0.169546231,0.372881356,0
1.79911E-4,42.761440188,0.482812932,0.168217201,0.377118644,0
1.80877E-4,43.014016149,0.484149326,0.166888172,0.384180791,0
1.81359E-4,43.267703589,0.484813792,0.165559142,0.38700565,0
1.82197E-4,43.504114294,0.485965296,0.164325043,0.389830508,0
1.82881E-4,43.759693356,0.486902625,0.162996013,0.391242938,0
1.83409E-4,44.016216119,0.487621722,0.161666983,0.396892655,0
1.84196E-4,44.255177348,0.488692069,0.160432884,0.396892655,0
1.85115E-4,44.513776288,0.489935158,0.159103854,0.401129944,0
1.85992E-4,44.755015042,0.491116715,0.157869755,0.406779661,0
1.86863E-4,45.015845137,0.492284985,0.156540725,0.406779661,0
1.87492E-4,45.259277641,0.493124231,0.155306626,0.406779661,0
1.88117E-4,45.503463218,0.493957018,0.154072527,0.40819209,0
1.88994E-4,45.767521815,0.495119611,0.152743497,0.40819209,0
1.89609E-4,46.013630708,0.495930766,0.151509398,0.411016949,0
1.90403E-4,46.260705352,0.496976392,0.150275299,0.412429379,0
1.91114E-4,46.508614875,0.497907305,0.1490412,0.413841808,0
1.91903E-4,46.757695295,0.498938233,0.147807101,0.415254237,0
1.9294E-4,47.007948857,0.500284514,0.146573002,0.418079096,0
1.93702E-4,47.259316709,0.50126974,0.145338903,0.422316384,0
1.94507E-4,47.511685783,0.502307432,0.144104803,0.426553672,0
1.96045E-4,47.765840092,0.50427608,0.142870704,0.429378531,0
1.96781E-4,48.001539346,0.505212511,0.141731536,0.43079096,0
1.97574E-4,48.257801072,0.506218143,0.140497437,0.433615819,0
1.97985E-4,48.51497437,0.50673718,0.139263338,0.436440678,0
1.9928E-4,48.75330805,0.508367434,0.138124169,0.439265537,0
2.00332E-4,49.013214383,0.50968251,0.13689007,0.442090395,0
2.01034E-4,49.254037343,0.510556667,0.135750902,0.443502825,0
2.0209E-4,49.516183727,0.511866688,0.134516803,0.447740113,0
2.03109E-4,49.759404296,0.513122634,0.133377634,0.450564972,0
2.03777E-4,50.003694772,0.513943632,0.132238466,0.453389831,0
2.04299E-4,50.269071191,0.514582157,0.131004367,0.456214689,0
2.04795E-4,50.514576729,0.515188126,0.129865198,0.459039548,0
2.05456E-4,50.76073329,0.515992794,0.12872603,0.461864407,0
2.07161E-4,51.008153174,0.518055937,0.127586862,0.463276836,0
2.08658E-4,51.257712088,0.519854359,0.126447693,0.467514124,0
2.09553E-4,51.508723271,0.520921969,0.125308525,0.468926554,0
2.10632E-4,51.760908961,0.52220368,0.124169356,0.470338983,0
2.11452E-4,52.014283114,0.523173567,0.123030188,0.471751412,0
2.12774E-4,52.268869997,0.524727217,0.12189102,0.471751412,0
2.14064E-4,52.50373409,0.526234583,0.120846782,0.474576271,0
2.15074E-4,52.761338671,0.527408083,0.119707613,0.47740113,0
2.1686E-4,53.020663007,0.529469467,0.118568445,0.480225989,0
2.17443E-4,53.259566688,0.530138119,0.117524207,0.483050847,0
2.18149E-4,53.520957062,0.530944592,0.116385039,0.488700565,0
2.19513E-4,53.761686746,0.532497506,0.115340801,0.490112994,0
2.20833E-4,54.003979706,0.53398989,0.114296564,0.491525424,0
2.21737E-4,54.269552913,0.535005787,0.113157395,0.494350282,0
2.2336E-4,54.514478293,0.536819553,0.112113157,0.498587571,0
2.24655E-4,54.761072216,0.538256319,0.11106892,0.502824859,0
2.25631E-4,55.00881577,0.53933359,0.110024682,0.505649718,0
2.26739E-4,55.257689262,0.540550346,0.108980444,0.508474576,0
2.27725E-4,55.507807145,0.541627748,0.107936207,0.511299435,0
2.29919E-4,55.759798034,0.544008131,0.106891969,0.511299435,0
2.31315E-4,56.013474539,0.54550903,0.105847731,0.514124294,0
2.3236E-4,56.268543689,0.546626368,0.104803493,0.516949153,0
2.33517E-4,56.501567946,0.547857253,0.103854186,0.519774011,0
2.35023E-4,56.75935392,0.549448735,0.102809949,0.519774011,0
2.36603E-4,57.018767731,0.551106726,0.101765711,0.52259887,0
2.38277E-4,57.256412249,0.552849942,0.100816404,0.526836158,0
2.39453E-4,57.519256046,0.554066703,0.099772166,0.529661017,0
2.41156E-4,57.759615834,0.555817273,0.098822859,0.535310734,0
2.43102E-4,58.002073638,0.557801359,0.097873552,0.539548023,0
2.44681E-4,58.27045112,0.559396692,0.096829315,0.54519774,0
2.46442E-4,58.516182423,0.561163771,0.095880008,0.548022599,0
2.47824E-4,58.763390125,0.562540415,0.094930701,0.550847458,0
2.48733E-4,59.011784001,0.56344156,0.093981394,0.553672316,0
2.50072E-4,59.261171514,0.564761282,0.093032087,0.557909605,0
2.51536E-4,59.512181408,0.566196252,0.09208278,0.562146893,0
2.52784E-4,59.764344315,0.567411222,0.091133473,0.562146893,0
2.54623E-4,60.018319077,0.569189356,0.090184166,0.56779661,0
2.56197E-4,60.273791357,0.570699714,0.089234859,0.570621469,0
2.5724E-4,60.504819548,0.571694558,0.088380482,0.572033898,0
2.58839E-4,60.762814444,0.573211526,0.087431175,0.576271186,0
2.60632E-4,61.022456529,0.574899339,0.086481868,0.579096045,0
2.61963E-4,61.257928822,0.576143691,0.085627492,0.580508475,0
2.6319E-4,61.520559595,0.577284707,0.084678185,0.581920904,0
2.64493E-4,61.758161355,0.578489141,0.083823809,0.586158192,0
2.66083E-4,62.02345296,0.57994994,0.082874502,0.587570621,0
2.68457E-4,62.264332283,0.582112741,0.082020125,0.59039548,0
2.69153E-4,62.506254081,0.582742142,0.081165749,0.59180791,0
2.70921E-4,62.776334256,0.584332999,0.080216442,0.594632768,0
2.73591E-4,63.021528741,0.586713508,0.079362066,0.597457627,0
2.75358E-4,63.268868539,0.588273624,0.078507689,0.600282486,0
2.77095E-4,63.517538182,0.589795765,0.077653313,0.603107345,0
2.78266E-4,63.767530882,0.590815397,0.076798937,0.603107345,0
2.80146E-4,64.018611532,0.592442057,0.07594456,0.607344633,0
2.82051E-4,64.271782206,0.594077502,0.075090184,0.610169492,0
2.83896E-4,64.526428095,0.595649355,0.074235808,0.61440678,0
2.85162E-4,64.754053673,0.596720101,0.073476362,0.620056497,0
2.87917E-4,65.011844042,0.599031994,0.072621986,0.627118644,0
2.894E-4,65.271550261,0.600265292,0.07176761,0.629943503,0
2.90712E-4,65.503619589,0.601350027,0.071008164,0.634180791,0
2.92408E-4,65.766218552,0.602743884,0.070153788,0.63700565,0
2.93846E-4,66.000615143,0.603917446,0.069394342,0.638418079,0
2.95011E-4,66.265728408,0.604864163,0.068539966,0.644067797,0
2.95557E-4,66.501981702,0.605305976,0.06778052,0.648305085,0
2.96617E-4,66.768627748,0.606160846,0.066926144,0.652542373,0
2.98142E-4,67.006514007,0.607384019,0.066166698,0.655367232,0
2.99131E-4,67.275319436,0.608174066,0.065312322,0.656779661,0
3.00426E-4,67.515254835,0.609202375,0.064552876,0.65960452,0
3.01388E-4,67.756036558,0.609963294,0.063793431,0.661016949,0
3.03717E-4,68.028589859,0.611793146,0.062939054,0.662429379,0
3.0451E-4,68.272015514,0.612412156,0.062179609,0.663841808,0
3.05927E-4,68.516366557,0.61351421,0.061420163,0.669491525,0
3.07159E-4,68.761698751,0.614466805,0.060660718,0.669491525,0
3.08128E-4,69.00778277,0.615212211,0.059901272,0.672316384,0
3.09155E-4,69.254828079,0.6159997,0.059141826,0.672316384,0
3.10499E-4,69.503009999,0.617025486,0.058382381,0.677966102,0
3.11729E-4,69.751905434,0.617959472,0.057622935,0.68079096,0
3.13082E-4,70.002083374,0.618981408,0.05686349,0.685028249,0
3.15754E-4,70.253693448,0.620982988,0.056104044,0.687853107,0
3.18369E-4,70.5073758,0.622922383,0.055344598,0.689265537,0
3.19425E-4,70.76264877,0.623700167,0.054585153,0.692090395,0
3.21269E-4,71.018830107,0.625050063,0.053825707,0.692090395,0
3.22088E-4,71.276234844,0.625646432,0.053066262,0.696327684,0
3.23058E-4,71.502137908,0.626350918,0.052401747,0.697740113,0
3.25873E-4,71.761972669,0.628378636,0.051642301,0.701977401,0
3.27545E-4,72.02321572,0.629573074,0.050882856,0.70480226,0
3.30324E-4,72.253283455,0.631541496,0.050218341,0.709039548,0
3.32524E-4,72.518394892,0.633084679,0.049458895,0.713276836,0
3.35239E-4,72.752023882,0.634971748,0.04879438,0.716101695,0
3.37888E-4,73.021601477,0.636794039,0.048034934,0.723163842,0
3.39066E-4,73.25857245,0.637598392,0.04737042,0.725988701,0
3.42771E-4,73.531520633,0.640105525,0.046610974,0.72740113,0
3.45976E-4,73.77270792,0.642246778,0.045946459,0.731638418,0
3.47955E-4,74.015503876,0.643556202,0.045281944,0.734463277,0
3.50003E-4,74.259848707,0.644901398,0.044617429,0.735875706,0
3.54493E-4,74.506859812,0.647815133,0.043952914,0.741525424,0
3.56819E-4,74.755979203,0.649305518,0.043288399,0.744350282,0
3.59587E-4,75.006895879,0.651063281,0.042623885,0.745762712,0
3.61797E-4,75.259616746,0.652454235,0.04195937,0.748587571,0
3.64297E-4,75.513903788,0.654013754,0.041294855,0.754237288,0
3.69445E-4,75.770667837,0.65718229,0.04063034,0.758474576,0
3.71598E-4,76.030029154,0.658490339,0.039965825,0.762711864,0
3.74705E-4,76.25429415,0.66036017,0.039396241,0.765536723,0
3.80696E-4,76.518176058,0.6639089,0.038731726,0.769774011,0
3.82053E-4,76.784983633,0.664702055,0.038067211,0.774011299,0
3.8371E-4,77.01478806,0.66566583,0.037497627,0.774011299,0
3.86714E-4,77.284550021,0.66739948,0.036833112,0.779661017,0
3.89463E-4,77.517626263,0.668970063,0.036263528,0.783898305,0
3.95289E-4,77.753374295,0.67224964,0.035693943,0.785310734,0
3.99401E-4,78.031486185,0.674525501,0.035029429,0.789548023,0
4.00197E-4,78.271331245,0.674962523,0.034459844,0.789548023,0
4.02934E-4,78.512589072,0.676456024,0.03389026,0.789548023,0
4.05377E-4,78.755169821,0.677777581,0.033320676,0.792372881,0
4.1106E-4,79.000230694,0.68081045,0.032751092,0.793785311,0
4.16143E-4,79.288818557,0.683475547,0.032086577,0.796610169,0
4.19502E-4,79.539837929,0.68521179,0.031516993,0.798022599,0
4.21363E-4,79.791906334,0.686165996,0.030947408,0.802259887,0
4.28213E-4,80.004944577,0.689628271,0.030472755,0.807909605,0
4.30908E-4,80.26275919,0.690969418,0.029903171,0.810734463,0
4.37207E-4,80.523049117,0.694059381,0.029333586,0.810734463,0
4.42673E-4,80.787048133,0.696691276,0.028764002,0.814971751,0
4.46638E-4,81.009494428,0.698572523,0.028289349,0.81920904,0
4.52694E-4,81.279510382,0.701400578,0.027719765,0.822033898,0
4.57469E-4,81.507503287,0.703593662,0.027245111,0.826271186,0
4.6055E-4,81.782959155,0.704991614,0.026675527,0.829096045,0
4.64439E-4,82.014624361,0.70673735,0.026200873,0.833333333,0
4.67652E-4,82.294236535,0.7081642,0.025631289,0.836158192,0
4.69526E-4,82.528641438,0.708989976,0.025156636,0.837570621,0
4.71663E-4,82.763968835,0.709926139,0.024681982,0.843220339,0
4.79609E-4,83.002022155,0.713354493,0.024207329,0.846045198,0
4.84972E-4,83.292216089,0.715622688,0.023637744,0.847457627,0
4.89613E-4,83.536382221,0.717557044,0.023163091,0.848870056,0
4.92708E-4,83.782304231,0.718832277,0.022688437,0.851694915,0
4.97844E-4,84.029706975,0.720923525,0.022213784,0.851694915,0
5.03257E-4,84.280185965,0.723094134,0.02173913,0.854519774,0
5.07557E-4,84.533678098,0.724794261,0.021264477,0.858757062,0
5.12668E-4,84.788278986,0.726788459,0.020789823,0.860169492,0
5.14798E-4,85.045173944,0.727611118,0.02031517,0.86440678,0
5.17402E-4,85.251694033,0.72860968,0.019935447,0.865819209,0
5.22409E-4,85.511701468,0.730509792,0.019460794,0.868644068,0
5.27185E-4,85.774225014,0.732297941,0.01898614,0.868644068,0
5.31424E-4,86.039838516,0.733865034,0.018511487,0.870056497,0
5.33135E-4,86.252766756,0.734492353,0.018131764,0.871468927,0
5.37267E-4,86.520636901,0.73599505,0.01765711,0.874293785,0
5.41154E-4,86.790455648,0.737393508,0.017182457,0.877118644,0
5.43727E-4,87.007413203,0.738310925,0.016802734,0.881355932,0
5.48992E-4,87.280861016,0.74016858,0.016328081,0.882768362,0
5.52169E-4,87.500947953,0.741276831,0.015948358,0.882768362,0
5.55E-4,87.778014344,0.742256377,0.015473704,0.884180791,0
5.58171E-4,88.000822307,0.743344775,0.015093981,0.88559322,0
5.66953E-4,88.283080248,0.746311617,0.014619328,0.88700565,0
5.74633E-4,88.511951229,0.748850798,0.014239605,0.88700565,0
5.80552E-4,88.801279752,0.75077305,0.013764952,0.891242938,0
5.84976E-4,89.034575318,0.752190744,0.013385229,0.896892655,0
5.88247E-4,89.26935974,0.753228843,0.013005506,0.899717514,0
5.96308E-4,89.506986573,0.75574978,0.012625783,0.901129944,0
6.04988E-4,89.808538529,0.75840759,0.01215113,0.905367232,0
6.12061E-4,90.052040818,0.760530956,0.011771407,0.90819209,0
6.1372E-4,90.29735715,0.761023662,0.011391684,0.912429379,0
6.17004E-4,90.543645355,0.761992821,0.011011961,0.915254237,0
6.24402E-4,90.79139239,0.764147509,0.010632238,0.918079096,0
6.37158E-4,91.04490358,0.767772827,0.010252516,0.922316384,0
6.41752E-4,91.301087257,0.769051491,0.009872793,0.925141243,0
6.50158E-4,91.559730936,0.771354683,0.00949307,0.927966102,0
6.54118E-4,91.755255529,0.772423875,0.009208278,0.93220339,0
6.59777E-4,92.018355375,0.773934551,0.008828555,0.933615819,0
6.72264E-4,92.284568094,0.777198069,0.008448832,0.936440678,0
6.91698E-4,92.55867293,0.78209387,0.00806911,0.937853107,0
6.9684E-4,92.767297406,0.783353368,0.007784317,0.940677966,0
7.04431E-4,93.04815328,0.785186503,0.007404595,0.943502825,0
7.10814E-4,93.260868019,0.78670414,0.007119803,0.946327684,0
7.20187E-4,93.547771162,0.788893882,0.00674008,0.949152542,0
7.27767E-4,93.765679723,0.790632397,0.006455288,0.950564972,0
7.49191E-4,94.060741331,0.795394487,0.006075565,0.951977401,0
7.60212E-4,94.287886065,0.797760854,0.005790773,0.951977401,0
7.65183E-4,94.516738365,0.798810356,0.005505981,0.953389831,0
7.69539E-4,94.823648897,0.799721076,0.005126258,0.956214689,0
